word;pos;definition
Logistics;n.;That branch of the military art which embraces the details of moving and supplying armies. The meaning of the word is by some writers extended to include strategy.
Logistics;n.;A system of arithmetic, in which numbers are expressed in a scale of 60; logistic arithmetic.
Logmen;pl. ;of Logman
Logman;n.;A man who carries logs.
Logodaedaly;n.;Verbal legerdemain; a playing with words.
Logogram;n.;A word letter; a phonogram, that, for the sake of brevity, represents a word; as, |, i. e., t, for it.  Cf. Grammalogue.
Logographer;n.;A chronicler; one who writes history in a condensed manner with short simple sentences.
Logographer;n.;One skilled in logography.
Logographic;a.;Alt. of Logographical
Logographical;a.;Of or pertaining to logography.
Logography;n.;A method of printing in which whole words or syllables, cast as single types, are used.
Logography;n.;A mode of reporting speeches without using shorthand, -- a number of reporters, each in succession, taking down three or four words.
Logogriph;n.;A sort of riddle in which it is required to discover a chosen word from various combinations of its letters, or of some of its letters, which form other words; -- thus, to discover the chosen word chatter form cat, hat, rat, hate, rate, etc.
Logomachist;n.;One who contends about words.
Logomachy;n.;Contention in words merely, or a contention about words; a war of words.
Logomachy;n.;A game of word making.
Logometric;a.;Serving to measure or ascertain chemical equivalents; stoichiometric.
Logos;n.;A word; reason; speech.
Logos;n.;The divine Word; Christ.
Logothete;;An accountant; under Constantine, an officer of the empire; a receiver of revenue; an administrator of a department.
Logotype;n.;A single type, containing two or more letters; as, ae, Ae, /, /, /, etc. ; -- called also ligature.
Logroll;v. i. & t.;To engage in logrolling; to accomplish by logrolling.
Logroller;n.;One who engages in logrolling.
Logrolling;n.;The act or process of rolling logs from the place where they were felled to the stream which floats them to the sawmill or to market. In this labor neighboring camps of loggers combine to assist each other in turn.
Logrolling;n.;Hence: A combining to assist another in consideration of receiving assistance in return; -- sometimes used of a disreputable mode of accomplishing political schemes or ends.
Log-ship;n.;A part of the log. See Log-chip, and 2d Log, n., 2.
Logwood;n.;The heartwood of a tree (Haematoxylon Campechianum), a native of South America, It is a red, heavy wood, containing a crystalline substance called haematoxylin, and is used largely in dyeing. An extract from this wood is used in medicine as an astringent. Also called Campeachy wood, and bloodwood.
Logy;a.;Heavy or dull in respect to motion or thought; as, a logy horse.
Lohock;n.;See Loch, a medicine.
Loimic;a.;Of or pertaining to the plague or contagious disorders.
Loin;n.;That part of a human being or quadruped, which extends on either side of the spinal column between the hip bone and the false ribs. In human beings the loins are also called the reins. See Illust. of Beef.
Loir;n.;A large European dormouse (Myoxus glis).
Loitered;imp. & p. p.;of Loiter
Loitering;p. pr. & vb. n.;of Loiter
Loiter;v. i.;To be slow in moving; to delay; to linger; to be dilatory; to spend time idly; to saunter; to lag behind.
Loiter;v. i.;To wander as an idle vagrant.
Loiterer;n.;One who loiters; an idler.
Loiterer;n.;An idle vagrant; a tramp.
Loiteringly;adv.;In a loitering manner.
Lok;n.;Alt. of Loki
Loki;n.;The evil deity, the author of all calamities and mischief, answering to the African of the Persians.
Locao;n.;A green vegetable dye imported from China.
Loke;n.;A private path or road; also, the wicket or hatch of a door.
Lokorys;n.;Liquorice.
Loligo;n.;A genus of cephalopods, including numerous species of squids, common on the coasts of America and Europe. They are much used for fish bait.
Lolled;imp. & p. p.;of Loll
Lolling;p. pr. & vb. n.;of Loll
Loll;v. i.;To act lazily or indolently; to recline; to lean; to throw one's self down; to lie at ease.
Loll;v. i.;To hand extended from the mouth, as the tongue of an ox or a log when heated with labor or exertion.
Loll;v. i.;To let the tongue hang from the mouth, as an ox, dog, or other animal, when heated by labor; as, the ox stood lolling in the furrow.
Loll;v. t.;To let hang from the mouth, as the tongue.
Lollard;n.;One of a sect of early reformers in Germany.
Lollard;n.;One of the followers of Wyclif in England.
Lollardism;n.;Alt. of Lollardy
Lollardy;n.;The doctrines or principles of the Lollards.
Loller;n.;One who lolls.
Loller;n.;An idle vagabond.
Loller;n.;A Lollard.
Lollingly;adv.;In a lolling manner.
Lollipop;n.;A kind of sugar confection which dissolves easily in the mouth.
Lollop;v. i.;To move heavily; to lounge or idle; to loll.
Lomata;pl. ;of Loma
Loma;n.;A lobe; a membranous fringe or flap.
Lomatinous;a.;Furnished with lobes or flaps.
Lombard;a.;Of or pertaining to Lombardy, or the inhabitants of Lombardy.
Lombard;n.;A native or inhabitant of Lombardy.
Lombard;n.;A money lender or banker; -- so called because the business of banking was first carried on in London by Lombards.
Lombard;n.;Same as Lombard-house.
Lombard;n.;A form of cannon formerly in use.
Lombardeer;n.;A pawnbroker.
Lombard-house;n.;Alt. of Lombar-house
Lombar-house;n.;A bank or a pawnbroker's shop.
Lombar-house;n.;A public institution for lending money to the poor at a moderate interest, upon articles deposited and pledged; -- called also mont de piete.
Lombardic;a.;Of or pertaining to Lombardy of the Lombards.
Loment;n.;An elongated pod, consisting, like the legume, of two valves, but divided transversely into small cells, each containing a single seed.
Lomentaceous;a.;Of the nature of a loment; having fruits like loments.
Lomonite;n.;Same as Laumontite.
Lompish;a.;Lumpish.
Lond;n.;Land.
London;n.;The capital city of England.
Londoner;n.;A native or inhabitant of London.
Londonism;n.;A characteristic of Londoners; a mode of speaking peculiar to London.
Londonize;v. i.;To impart to (one) a manner or character like that which distinguishes Londoners.
Londonize;v. i.;To imitate the manner of the people of London.
Lone;n.;A lane. See Loanin.
Lone;a.;Being without a companion; being by one's self; also, sad from lack of companionship; lonely; as, a lone traveler or watcher.
Lone;a.;Single; unmarried, or in widowhood.
Lone;a.;Being apart from other things of the kind; being by itself; also, apart from human dwellings and resort; as, a lone house.
Lone;a.;Unfrequented by human beings; solitary.
Loneliness;n.;The condition of being lonely; solitude; seclusion.
Loneliness;n.;The state of being unfrequented by human beings; as, the loneliness of a road.
Loneliness;n.;Love of retirement; disposition to solitude.
Loneliness;n.;A feeling of depression resulting from being alone.
Lonely;superl.;Sequestered from company or neighbors; solitary; retired; as, a lonely situation; a lonely cell.
Lonely;superl.;Alone, or in want of company; forsaken.
Lonely;superl.;Not frequented by human beings; as, a lonely wood.
Lonely;superl.;Having a feeling of depression or sadness resulting from the consciousness of being alone; lonesome.
Loneness;n.;Solitude; seclusion.
Lonesome;superl.;Secluded from society; not frequented by human beings; solitary.
Lonesome;superl.;Conscious of, and somewhat depressed by, solitude; as, to feel lonesome.
Long;superl.;Drawn out in a line, or in the direction of length; protracted; extended; as, a long line; -- opposed to short, and distinguished from broad or wide.
Long;superl.;Drawn out or extended in time; continued through a considerable tine, or to a great length; as, a long series of events; a long debate; a long drama; a long history; a long book.
Long;superl.;Slow in passing; causing weariness by length or duration; lingering; as, long hours of watching.
Long;superl.;Occurring or coming after an extended interval; distant in time; far away.
Long;superl.;Extended to any specified measure; of a specified length; as, a span long; a yard long; a mile long, that is, extended to the measure of a mile, etc.
Long;superl.;Far-reaching; extensive.
Long;superl.;Prolonged, or relatively more prolonged, in utterance; -- said of vowels and syllables. See Short, a., 13, and Guide to Pronunciation, // 22, 30.
Long;n.;A note formerly used in music, one half the length of a large, twice that of a breve.
Long;n.;A long sound, syllable, or vowel.
Long;n.;The longest dimension; the greatest extent; -- in the phrase, the long and the short of it, that is, the sum and substance of it.
Long;adv.;To a great extent in apace; as, a long drawn out line.
Long;adv.;To a great extent in time; during a long time.
Long;adv.;At a point of duration far distant, either prior or posterior; as, not long before; not long after; long before the foundation of Rome; long after the Conquest.
Long;adv.;Through the whole extent or duration.
Long;adv.;Through an extent of time, more or less; -- only in question; as, how long will you be gone?
Long;prep.;By means of; by the fault of; because of.
Longed;imp. &  p. p.;of Long
Longing;p. pr. & vb. n.;of Long
Long;a.;To feel a strong or morbid desire or craving; to wish for something with eagerness; -- followed by an infinitive, or by after or for.
Long;a.;To belong; -- used with to, unto, or for.
Longan;n.;A pulpy fruit related to the litchi, and produced by an evergreen East Indian tree (Nephelium Longan).
Longanimity;n.;Disposition to bear injuries patiently; forbearance; patience.
Long-armed;a.;Having long arms; as, the long-armed ape or gibbon.
Longbeak;n.;The American redbellied snipe (Macrorhamphus scolopaceus); -- called also long-billed dowitcher.
Longboat;n.;Formerly, the largest boat carried by a merchant vessel, corresponding to the launch of a naval vessel.
Longbow;n.;The ordinary bow, not mounted on a stock; -- so called in distinction from the crossbow when both were used as weapons of war. Also, sometimes, such a bow of about the height of a man, as distinguished from a much shorter one.
Long-breathed;a.;Having the power of retaining the breath for a long time; long-winded.
Long-drawn;a.;Extended to a great length.
Longe;n.;A thrust. See Lunge.
Longe;n.;The training ground for a horse.
Longe;n.;Same as 4th Lunge.
Longer;n.;One who longs for anything.
Longeval;a.;Long-loved; longevous.
Longevity;n.;Long duration of life; length of life.
Longevous;a.;Living a long time; of great age.
Longhand;n.;The written characters used in the common method of writing; -- opposed to shorthand.
Longheaded;a.;Having unusual foresight or sagacity.
Longhorn;n.;A long-horned animal, as a cow, goat, or beetle. See Long-horned.
Long-horned;a.;Having a long horn or horns; as, a long-horned goat, or cow; having long antennae, as certain beetles (Longicornia).
Longicorn;a.;Long-horned; pertaining to the Longicornia.
Longicorn;n.;One of the Longicornia.
Longicornia;n. pl.;A division of beetles, including a large number of species, in which the antennae are very long.  Most of them, while in the larval state, bore into the wood or beneath the bark of trees, and some species are very destructive to fruit and shade trees. See Apple borer, under Apple, and Locust beetle, under Locust.
Longilateral;a.;Having long sides especially, having the form of a long parallelogram.
Longiloquence;n.;Long-windedness.
Longimanous;a.;Having long hands.
Longimetry;n.;The art or practice of measuring distances or lengths.
Longing;n.;An eager desire; a craving; a morbid appetite; an earnest wish; an aspiration.
Longingly;adv.;With longing.
Longinquity;n.;Greatness of distance; remoteness.
Longipalp;n.;One of a tribe of beetles, having long maxillary palpi.
Longipennate;a.;Having long wings, or quills.
Longipennes;n. pl.;A group of longwinged sea birds, including the gulls, petrels, etc.
Longipennine;a.;Of or pertaining to the Longipennes; longipennate.
Longirostres;pl. ;of Longiroster
Longirosters;pl. ;of Longiroster
Longiroster;n.;One of the Longirostres.
Longirostral;a.;Having a long bill; of or pertaining to the Longirostres.
Longirostres;n. pl.;A group of birds characterized by having long slender bills, as the sandpipers, curlews, and ibises. It is now regarded as an artificial division.
Longish;a.;Somewhat long; moderately long.
Longitude;n.;Length; measure or distance along the longest line; -- distinguished from breadth or thickness; as, the longitude of a room; rare now, except in a humorous sense.
Longitude;n.;The arc or portion of the equator intersected between the meridian of a given place and the meridian of some other place from which longitude is reckoned, as from Greenwich, England, or sometimes from the capital of a country, as from Washington or Paris. The longitude of a place is expressed either in degrees or in time; as, that of New York is 74� or 4 h. 56 min. west of Greenwich.
Longitude;n.;The distance in degrees, reckoned from the vernal equinox, on the ecliptic, to a circle at right angles to the ecliptic passing through the heavenly body whose longitude is designated; as, the longitude of Capella is 79�.
Longitudinal;a.;Of or pertaining to longitude or length; as, longitudinal distance.
Longitudinal;a.;Extending in length; in the direction of the length; running lengthwise, as distinguished from transverse; as, the longitudinal diameter of a body.
Longitudinal;n.;A railway sleeper lying parallel with the rail.
Longitudinally;adv.;In the direction of length.
Longlegs;n.;A daddy longlegs.
Long-lived;a.;Having a long life; having constitutional peculiarities which make long life probable; lasting long; as, a long-lived tree; they are a longlived family; long-lived prejudices.
Longly;adv.;With longing desire.
Longly;adv.;For a long time; hence, wearisomely.
Longmynd rocks;;The sparingly fossiliferous conglomerates, grits, schists, and states of Great Britain, which lie at the base of the Cambrian system; -- so called, because typically developed in the Longmynd Hills, Shropshire.
Longness;n.;Length.
Longnose;n.;The European garfish.
Long primer;;A kind of type, in size between small pica and bourgeois.
Longshanks;n.;The stilt.
Longshore;a.;Belonging to the seashore or a seaport; along and on the shore.
Longshoremen;pl. ;of Longshoreman
Longshoreman;n.;One of a class of laborers employed about the wharves of a seaport, especially in loading and unloading vessels.
Long-sight;n.;Long-sightedness.
Long-sighted;a.;Able to see objects at a great distance; hence, having great foresight; sagacious; farseeing.
Long-sighted;a.;Able to see objects distinctly at a distance, but not close at hand; hypermetropic.
Long-sightedness;n.;The state or condition of being long-sighted; hence, sagacity; shrewdness.
Long-sightedness;n.;See Hypermetropia.
Longsome;a.;Extended in length; tiresome.
Longspun;a.;Spun out, or extended, to great length; hence, long-winded; tedious.
Longspur;n.;Any one of several species of fringilline birds of the genus Calcarius (or Plectrophanes), and allied genera. The Lapland longspur (C. Lapponicus), the chestnut-colored longspur (C. ornatus), and other species, inhabit the United States.
Long-stop;n.;One who is set to stop balls which pass the wicket keeper.
Long-sufferance;n.;Forbearance to punish or resent.
Long-suffering;n.;Bearing injuries or provocation for a long time; patient; not easily provoked.
Long-suffering;n.;Long patience of offense.
Longtail;n.;An animal, particularly a log, having an uncut tail.  Cf. Curtail. Dog.
Long-tongue;n.;The wryneck.
Long-tongued;a.;Having a long tongue.
Long-tongued;a.;Talkative; babbling; loquacious.
Longulite;n.;A kind of crystallite having a (slender) acicular form.
Long-waisted;a.;Having a long waist; long from the armpits to the armpits to the bottom of the waist; -- said of persons.
Long-waisted;a.;Long from the part about the neck or shoulder, or from the armpits, to the bottom of the weist, or to the skirt; -- said of garments; as, a long-waisted coat.
Longways;adv.;Lengthwise.
Long-winded;a.;Long-breathed; hence, tediously long in speaking; consuming much time; as, a long-winded talker.
Longwise;adv.;Lengthwise.
Loo;n.;An old game played with five, or three, cards dealt to each player from a full pack. When five cards are used the highest card is the knave of clubs or (if so agreed upon) the knave of trumps; -- formerly called lanterloo.
Loo;n.;A modification of the game of "all fours" in which the players replenish their hands after each round by drawing each a card from the pack.
Looed;imp. & p. p.;of Loo
Looing;p. pr. & vb. n.;of Loo
Loo;v. t.;To beat in the game of loo by winning every trick.
Loob;n.;The clay or slimes washed from tin ore in dressing.
Loobily;a.;Loobylike; awkward.
Loobily;adv.;Awkwardly.
Loobies;pl. ;of Looby
Looby;n.;An awkward, clumsy fellow; a lubber.
Looch;n.;See 2d Loch.
Loof;n.;The spongelike fibers of the fruit of a cucurbitaceous plant (Luffa Aegyptiaca); called also vegetable sponge.
Loof;n.;Formerly, some appurtenance of a vessel which was used in changing her course; -- probably a large paddle put over the lee bow to help bring her head nearer to the wind.
Loof;n.;The part of a ship's side where the planking begins to curve toward bow and stern.
Loof;v. i.;See Luff.
Looked;imp. & p. p.;of Look
Looking;p. pr. & vb. n.;of Look
Look;v. i.;To direct the eyes for the purpose of seeing something; to direct the eyes toward an object; to observe with the eyes while keeping them directed; -- with various prepositions, often in a special or figurative sense. See Phrases below.
Look;v. i.;To direct the attention (to something); to consider; to examine; as, to look at an action.
Look;v. i.;To seem; to appear; to have a particular appearance; as, the patient looks better; the clouds look rainy.
Look;v. i.;To have a particular direction or situation; to face; to front.
Look;v. i.;In the imperative: see; behold; take notice; take care; observe; -- used to call attention.
Look;v. i.;To show one's self in looking, as by leaning out of a window; as, look out of the window while I speak to you. Sometimes used figuratively.
Look;v. i.;To await the appearance of anything; to expect; to anticipate.
Look;v. t.;To look at; to turn the eyes toward.
Look;v. t.;To seek; to search for.
Look;v. t.;To expect.
Look;v. t.;To influence, overawe, or subdue by looks or presence as, to look down opposition.
Look;v. t.;To express or manifest by a look.
Look;n.;The act of looking; a glance; a sight; a view; -- often in certain phrases; as, to have, get, take, throw, or cast, a look.
Look;n.;Expression of the eyes and face; manner; as, a proud or defiant look.
Look;n.;Hence; Appearance; aspect; as, the house has a gloomy look; the affair has a bad look.
Lookdown;n.;See Moonfish (b).
Looker;n.;One who looks.
Looking;a.;Having a certain look or appearance; -- often compounded with adjectives; as, good-looking, grand-looking, etc.
Looking;n.;The act of one who looks; a glance.
Looking;n.;The manner in which one looks; appearance; countenance; face.
Looking-glass;n.;A mirror made of glass on which has been placed a backing of some reflecting substance, as quicksilver.
Lookout;n.;A careful looking or watching for any object or event.
Lookout;n.;The place from which such observation is made.
Lookout;n.;A person engaged in watching.
Lookout;n.;Object or duty of forethought and care; responsibility.
Lool;n.;A vessel used to receive the washings of ores of metals.
Loom;n.;See Loon, the bird.
Loom;n.;A frame or machine of wood or other material, in which a weaver forms cloth out of thread; a machine for interweaving yarn or threads into a fabric, as in knitting or lace making.
Loom;n.;That part of an oar which is near the grip or handle and inboard from the rowlock.
Loomed;imp. & p. p.;of Loom
Looming;p. pr. & vb. n.;of Loom
Loom;v. i.;To appear above the surface either of sea or land, or to appear enlarged, or distorted and indistinct, as a distant object, a ship at sea, or a mountain, esp. from atmospheric influences; as, the ship looms large; the land looms high.
Loom;v. i.;To rise and to be eminent; to be elevated or ennobled, in a moral sense.
Loom;n.;The state of looming; esp., an unnatural and indistinct appearance of elevation or enlargement of anything, as of land or of a ship, seen by one at sea.
Loom-gale;n.;A gentle gale of wind.
Looming;n.;The indistinct and magnified appearance of objects seen in particular states of the atmosphere. See Mirage.
Loon;n.;A sorry fellow; a worthless person; a rogue.
Loon;n.;Any one of several aquatic, wed-footed, northern birds of the genus Urinator (formerly Colymbus), noted for their expertness in diving and swimming under water. The common loon, or great northern diver (Urinator imber, or Colymbus torquatus), and the red-throated loon or diver (U. septentrionalis), are the best known species. See Diver.
Loony;a.;See Luny.
Loop;n.;A mass of iron in a pasty condition gathered into a ball for the tilt hammer or rolls.
Loop;n.;A fold or doubling of a thread, cord, rope, etc., through which another thread, cord, etc., can be passed, or which a hook can be hooked into; an eye, as of metal; a staple; a noose; a bight.
Loop;n.;A small, narrow opening; a loophole.
Loop;n.;A curve of any kind in the form of a loop.
Loop;n.;A wire forming part of a main circuit and returning to the point from which it starts.
Loop;n.;The portion of a vibrating string, air column, etc., between two nodes; -- called also ventral segment.
Looped;imp. & p. p.;of Loop
Looping;p. pr. & vb. n.;of Loop
Loop;v. t.;To make a loop of or in; to fasten with a loop or loops; -- often with up; as, to loop a string; to loop up a curtain.
Looped;a.;Bent, folded, or tied, so as to make a loop; as, a looped wire or string.
Looped;a.;Full of holes.
Looper;n.;An instrument, as a bodkin, for forming a loop in yarn, a cord, etc.
Looper;n.;The larva of any species of geometrid moths. See Geometrid.
Loophole;n.;A small opening, as in the walls of fortification, or in the bulkhead of a ship, through which small arms or other weapons may be discharged at an enemy.
Loophole;n.;A hole or aperture that gives a passage, or the means of escape or evasion.
Loopholed;a.;Provided with loopholes.
Loopie;a.;Deceitful; cunning; sly.
Looping;n.;The running together of the matter of an ore into a mass, when the ore is only heated for calcination.
Looping;p. pr. & vb. n.;of Loop.
Looplight;n.;A small narrow opening or window in a tower or fortified wall; a loophole.
Loord;n.;A dull, stupid fellow; a drone.
Loos;n.;Praise; fame; reputation.
Loose;superl.;Unbound; untied; unsewed; not attached, fastened, fixed, or confined; as, the loose sheets of a book.
Loose;superl.;Free from constraint or obligation; not bound by duty, habit, etc. ; -- with from or of.
Loose;superl.;Not tight or close; as, a loose garment.
Loose;superl.;Not dense, close, compact, or crowded; as, a cloth of loose texture.
Loose;superl.;Not precise or exact; vague; indeterminate; as, a loose style, or way of reasoning.
Loose;superl.;Not strict in matters of morality; not rigid according to some standard of right.
Loose;superl.;Unconnected; rambling.
Loose;superl.;Lax; not costive; having lax bowels.
Loose;superl.;Dissolute; unchaste; as, a loose man or woman.
Loose;superl.;Containing or consisting of obscene or unchaste language; as, a loose epistle.
Loose;n.;Freedom from restraint.
Loose;n.;A letting go; discharge.
Loosed;imp. & p. p.;of Loose
Loosing;p. pr. & vb. n.;of Loose
Loose;a.;To untie or unbind; to free from any fastening; to remove the shackles or fastenings of; to set free; to relieve.
Loose;a.;To release from anything obligatory or burdensome; to disengage; hence, to absolve; to remit.
Loose;a.;To relax; to loosen; to make less strict.
Loose;a.;To solve; to interpret.
Loose;v. i.;To set sail.
Loosely;adv.;In a loose manner.
Loosened;imp. & p. p.;of Loosen
Loosening;p. pr. & vb. n.;of Loosen
Loosen;v. t.;To make loose; to free from tightness, tension, firmness, or fixedness; to make less dense or compact; as, to loosen a string, or a knot; to loosen a rock in the earth.
Loosen;v. t.;To free from restraint; to set at liberty..
Loosen;v. t.;To remove costiveness from; to facilitate or increase the alvine discharges of.
Loosen;v. i.;To become loose; to become less tight, firm, or compact.
Loosener;n.;One who, or that which, loosens.
Looseness;n.;The state, condition, or quality, of being loose; as, the looseness of a cord; looseness of style; looseness of morals or of principles.
Loosestrife;n.;The name of several species of plants of the genus Lysimachia, having small star-shaped flowers, usually of a yellow color.
Loosestrife;n.;Any species of the genus Lythrum, having purple, or, in some species, crimson flowers.
Loosish;a.;Somewhat loose.
Loot;n.;The act of plundering.
Loot;n.;Plunder; booty; especially, the boot taken in a conquered or sacked city.
Looted;imp. & p. p.;of Loot
Looting;p. pr. & vb. n.;of Loot
Loot;v. t. & i.;To plunder; to carry off as plunder or a prize lawfully obtained by war.
Looter;n.;A plunderer.
Loover;n.;See Louver.
Lop;n.;A flea.
Lopped;imp. & p. p.;of Lop
Lopping;p. pr. & vb. n.;of Lop
Lop;v. t.;To cut off as the top or extreme part of anything; to sho/ -- by cutting off the extremities; to cut off, or remove as superfluous parts; as, to lop a tree or its branches.
Lop;v. t.;To cut partly off and bend down; as, to lop bushes in a hedge.
Lop;n.;That which is lopped from anything, as branches from a tree.
Lop;v. i.;To hang downward; to be pendent; to lean to one side.
Lop;v. t.;To let hang down; as, to lop the head.
Lop;a.;Hanging down; as, lop ears; -- used also in compound adjectives; as, lopeared; lopsided.
Lope;imp.;of Leap.
Loped;imp. & p. p.;of Lope
Loping;p. pr. & vb. n.;of Lope
Lope;v. i.;To leap; to dance.
Lope;v. i.;To move with a lope, as a horse.
Lope;n.;A leap; a long step.
Lope;n.;An easy gait, consisting of long running strides or leaps.
Lopeared;a.;Having ears which lop or hang down.
Lopeman;n.;Leaper; ropedancer.
Loper;n.;One who, or that which, lopes; esp., a horse that lopes.
Loper;n.;A swivel at one end of a ropewalk, used in laying the strands.
Lophine;n.;A nitrogenous organic base obtained by the oxidation of amarine, and regarded as a derivative of benzoic aldehyde. It is obtained in long white crystalline tufts, -- whence its name.
Lophiomys;n.;A very singular rodent (Lophiomys Imhausi) of Northeastern Africa. It is the only known representative of a special family (Lophiomyidae), remarkable for the structure of the skull. It has handlike feet, and the hair is peculiar in structure and arrangement.
Lophobranch;a.;Of or pertaining to the Lophobranchii.
Lophobranch;n.;One of the Lophobranchii.
Lophobranchiate;a.;Of or pertaining to the Lophobranchii.
Lophobranchii;n. pl.;An order of teleostean fishes, having the gills arranged in tufts on the branchial arches, as the Hippocampus and pipefishes.
Lophophore;n.;A disk which surrounds the mouth and bears the tentacles of the Bryozoa. See Phylactolemata.
Lophopoda;n. pl.;Same as Phylactolemata.
Lophostea;pl. ;of Lophosteon
Lophosteons;pl. ;of Lophosteon
Lophosteon;n.;The central keel-bearing part of the sternum in birds.
Loppard;n.;A tree, the top of which has been lopped off.
Lopper;n.;One who lops or cuts off.
Loppered;imp. & p. p.;of Lopper
Loppering;p. pr. & vb. n.;of Lopper
Lopper;v. i.;To turn sour and coagulate from too long standing, as milk.
Lopping;n.;A cutting off, as of branches; that which is cut off; leavings.
Loppy;a.;Somewhat lop; inclined to lop.
Lopseed;n.;A perennial herb (Phryma Leptostachya), having slender seedlike fruits.
Lopsided;a.;Leaning to one side because of some defect of structure; as, a lopsided ship.
Lopsided;a.;Unbalanced; poorly proportioned; full of idiosyncrasies.
Loquacious;a.;Given to continual talking; talkative; garrulous.
Loquacious;a.;Speaking; expressive.
Loquacious;a.;Apt to blab and disclose secrets.
Loquaciously;adv.;In a loquacious manner.
Loquaciousness;n.;Loquacity.
Loquacity;n.;The habit or practice of talking continually or excessively; inclination to talk too much; talkativeness; garrulity.
Loquat;n.;The fruit of the Japanese medlar (Photinia Japonica). It is as large as a small plum, but grows in clusters, and contains four or five large seeds. Also, the tree itself.
Loral;n.;Of or pertaining to the lores.
Lorate;a.;Having the form of a thong or strap; ligulate.
Lorcha;n.;A kind of light vessel used on the coast of China, having the hull built on a European model, and the rigging like that of a Chinese junk.
Lord;n.;A hump-backed person; -- so called sportively.
Lord;n.;One who has power and authority; a master; a ruler; a governor; a prince; a proprietor, as of a manor.
Lord;n.;A titled nobleman., whether a peer of the realm or not; a bishop, as a member of the House of Lords; by courtesy; the son of a duke or marquis, or the eldest son of an earl; in a restricted sense, a boron, as opposed to noblemen of higher rank.
Lord;n.;A title bestowed on the persons above named; and also, for honor, on certain official persons; as, lord advocate, lord chamberlain, lord chancellor, lord chief justice, etc.
Lord;n.;A husband.
Lord;n.;One of whom a fee or estate is held; the male owner of feudal land; as, the lord of the soil; the lord of the manor.
Lord;n.;The Supreme Being; Jehovah.
Lord;n.;The Savior; Jesus Christ.
Lord;v. t.;To invest with the dignity, power, and privileges of a lord.
Lord;v. t.;To rule or preside over as a lord.
Lorded;imp. & p. p.;of Lord
Lording;p. pr. & vb. n.;of Lord
Lord;v. i.;To play the lord; to domineer; to rule with arbitrary or despotic sway; -- sometimes with over; and sometimes with it in the manner of a transitive verb.
Lording;n.;The son of a lord; a person of noble lineage.
Lording;n.;A little lord; a lordling; a lord, in contempt or ridicule.
Lordkin;n.;A little lord.
Lordlike;a.;Befitting or like a lord; lordly.
Lordlike;a.;Haughty; proud; insolent; arrogant.
Lordliness;n.;The state or quality of being lordly.
Lordling;n.;A little or insignificant lord.
Lordly;superl.;Suitable for a lord; of or pertaining to a lord; resembling a lord; hence, grand; noble; dignified; honorable.
Lordly;superl.;Proud; haughty; imperious; insolent.
Lordly;adv.;In a lordly manner.
Lordolatry;n.;Worship of, or reverence for, a lord as such.
Lordosis;n.;A curvature of the spine forwards, usually in the lumbar region.
Lordosis;n.;Any abnormal curvature of the bones.
Lords and Ladies;;The European wake-robin (Arum maculatum), -- those with purplish spadix the lords, and those with pale spadix the ladies.
Lordship;n.;The state or condition of being a lord; hence (with his or your), a title applied to a lord (except an archbishop or duke, who is called Grace) or a judge (in Great Britain), etc.
Lordship;n.;Seigniory; domain; the territory over which a lord holds jurisdiction; a manor.
Lordship;n.;Dominion; power; authority.
Lore;n.;The space between the eye and bill, in birds, and the corresponding region in reptiles and fishes.
Lore;n.;The anterior portion of the cheeks of insects.
Lore;obs. imp. & p. p.;Lost.
Lore;v. t.;That which is or may be learned or known; the knowledge gained from tradition, books, or experience; often, the whole body of knowledge possessed by a people or class of people, or pertaining to a particular subject; as, the lore of the Egyptians; priestly lore; legal lore; folklore.
Lore;v. t.;That which is taught; hence, instruction; wisdom; advice; counsel.
Lore;v. t.;Workmanship.
Loreal;a.;Alt. of Loral
Loral;a.;Of or pertaining to the lore; -- said of certain feathers of birds, scales of reptiles, etc.
Lorel;n.;A good for nothing fellow; a vagabond.
Loren;obs. strong p. p.;of Lose.
Loresman;n.;An instructor.
Lorette;n.;In France, a name for a woman who is supported by her lovers, and devotes herself to idleness, show, and pleasure; -- so called from the church of Notre Dame de Lorette, in Paris, near which many of them resided.
Lorettine;n.;One of a order of nuns founded in 1812 at Loretto, in Kentucky. The members of the order (called also Sisters of Loretto, or Friends of Mary at the Foot of the Cross) devote themselves to the cause of education and the care of destitute orphans, their labors being chiefly confined to the Western United States.
Lorgnette;n.;An opera glass
Lorgnette;n.;elaborate double eyeglasses.
Lori;n.;Same as Lory.
Loricae;pl. ;of Lorica
Lorica;n.;A cuirass, originally of leather, afterward of plates of metal or horn sewed on linen or the like.
Lorica;n.;Lute for protecting vessels from the fire.
Lorica;n.;The protective case or shell of an infusorian or rotifer.
Loricata;n. pl.;A suborder of edentates, covered with bony plates, including the armadillos.
Loricata;n. pl.;The crocodilia.
Loricated;imp. & p. p.;of Loricate
Loricating;p. pr. & vb. n.;of Loricate
Loricate;v. t.;To cover with some protecting substance, as with lute, a crust, coating, or plates.
Loricate;v.;Covered with a shell or exterior made of plates somewhat like a coat of mail, as in the armadillo.
Loricate;n.;An animal covered with bony scales, as crocodiles among reptiles, and the pangolins among mammals.
Lorication;n.;The act of loricating; the protecting substance put on; a covering of scales or plates.
